[[ 194.1     0.      8.      5.91    1.5   -96.29]
 [ 182.39    0.      8.      5.16    1.8   -17.39]
 [ 171.93    0.      8.      4.58    2.    -18.36]
 [ 163.75    0.      8.      4.8     1.8   -49.93]
 [ 153.65    0.      8.      4.13    2.    -18.36]
 [ 144.52    0.      8.      4.82    1.8   -24.44]
 [ 135.7     0.      8.      5.      1.8   -39.88]
 [ 127.3     0.      8.      4.68    2.    -48.3 ]
 [ 118.22    0.      8.      5.13    1.8   -32.44]
 [ 107.29    0.      8.      4.75    1.8   -17.39]
 [   4.3     1.      8.      5.27    1.8  -168.5 ]
 [  13.67    1.      8.      5.18    1.8    -0.2 ]
 [  23.65    1.      8.      4.81    1.8     0.01]
 [  33.36    1.      8.      5.79    1.5    -0.15]
 [  42.35    1.      8.      5.18    1.8    -0.14]
 [  53.13    1.      8.      4.07    2.      0.26]
 [  60.8     1.      8.      5.15    1.8    -1.98]
 [  69.65    1.      8.      5.23    1.8    -0.5 ]
 [  78.28    1.      8.      4.77    1.8    -0.57]
 [  88.45    1.      8.      4.8     1.8    -0.08]]
