[[ 195.9     0.      8.      5.25    1.8  -168.5 ]
 [ 187.25    0.      8.      4.61    2.    -48.3 ]
 [ 178.34    0.      8.      6.02    1.5   -19.49]
 [ 168.32    0.      8.      5.9     1.5   -22.79]
 [ 156.62    0.      8.      5.02    1.8   -17.39]
 [ 148.4     0.      8.      4.51    2.    -54.85]
 [ 140.29    0.      8.      5.65    1.5   -28.53]
 [ 131.04    0.      8.      5.16    1.8   -49.93]
 [ 121.18    0.      8.      5.18    1.8   -28.06]
 [ 111.2     0.      8.      6.43    1.5   -15.3 ]
 [   4.6     1.      8.      5.27    1.8  -168.5 ]
 [  15.07    1.      8.      5.19    1.8     0.23]
 [  23.66    1.      8.      5.98    1.5    -0.35]
 [  33.34    1.      8.      4.95    1.8     0.2 ]
 [  43.69    1.      8.      6.13    1.5     0.04]
 [  53.92    1.      8.      4.65    2.      0.37]
 [  62.97    1.      8.      6.08    1.5    -0.38]
 [  74.35    1.      8.      4.33    2.      0.64]
 [  82.08    1.      8.      6.04    1.5    -0.98]
 [  92.62    1.      8.      5.01    1.8     0.5 ]]
