[[ 195.7     0.      8.      5.07    1.8  -168.5 ]
 [ 185.03    0.      8.      4.59    2.    -16.18]
 [ 176.14    0.      8.      4.87    1.8   -34.1 ]
 [ 167.27    0.      8.      4.77    1.8   -39.88]
 [ 158.3     0.      8.      4.01    2.    -30.76]
 [ 150.59    0.      8.      4.42    2.    -40.38]
 [ 140.77    0.      8.      5.15    1.8   -20.53]
 [ 130.92    0.      8.      5.86    1.5   -16.03]
 [ 121.36    0.      8.      4.68    2.    -40.38]
 [ 111.38    0.      8.      4.87    1.8   -21.42]
 [   3.8     1.      8.      5.3     1.8  -168.5 ]
 [  13.8     1.      8.      5.19    1.8     0.07]
 [  23.19    1.      8.      4.82    1.8    -0.23]
 [  32.31    1.      8.      4.59    2.     -0.46]
 [  40.4     1.      8.      6.14    1.5    -0.72]
 [  51.54    1.      8.      4.92    1.8     0.7 ]
 [  61.46    1.      8.      5.24    1.8    -0.12]
 [  72.3     1.      8.      4.96    1.8     0.34]
 [  80.36    1.      8.      6.01    1.5    -0.6 ]
 [  90.87    1.      8.      4.27    2.      0.42]]
